"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"254",0.005,100,0.37,1.26566585622955,0.656207563677221,0.912003332801477,TRUE,4,19
"255",0.005,100,0.39,1.33408022683656,0.624239449841639,0.867573752931885,TRUE,4,19
"256",0.005,100,0.41,1.40249459744356,0.588762718312816,0.81826786378626,TRUE,4,19
"257",0.005,100,0.43,1.47090896805056,0.551143990447013,0.765985008347795,TRUE,4,19
"258",0.005,100,0.45,1.53932333865757,0.512504078030152,0.712282901188498,TRUE,4,19
"259",0.005,100,0.47,1.60773770926457,0.473700719434287,0.658353635020017,TRUE,4,19
"260",0.005,100,0.49,1.67615207987157,0.435344960499693,0.605046446994847,TRUE,4,19
"261",0.01,100,0.001,0.00525404942097728,0.624629974602187,0.743694664055938,TRUE,4,19
"262",0.01,100,0.01,0.0525404942097728,0.63552138037537,0.756662149906649,TRUE,4,19
"263",0.01,100,0.03,0.157621482629318,0.659724503414258,0.78547878405709,TRUE,4,19
"264",0.01,100,0.05,0.262702471048864,0.683933677735282,0.814302622963016,TRUE,4,19
"265",0.01,100,0.07,0.36778345946841,0.708136803254485,0.84311926006656,TRUE,4,19
"266",0.01,100,0.09,0.472864447887955,0.732339930430697,0.871935899142966,TRUE,4,19
"267",0.01,100,0.11,0.577945436307501,0.756543044853016,0.900752523034379,TRUE,4,19
"268",0.01,100,0.13,0.683026424727047,0.780746167645839,0.92956915689185,TRUE,4,19
"269",0.01,100,0.15,0.788107413146592,0.804949290361935,0.95838579065797,TRUE,4,19
"270",0.01,100,0.17,0.893188401566138,0.829021487068726,0.987046541776017,TRUE,4,19
"271",0.01,100,0.19,0.998269389985684,0.839898535575813,0.999996933630891,TRUE,4,19
"272",0.01,100,0.21,1.10335037840523,0.830716850249953,0.98906506890853,TRUE,4,19
"273",0.01,100,0.23,1.20843136682478,0.805334824910131,0.95884481439676,TRUE,4,19
"274",0.01,100,0.25,1.31351235524432,0.768421372661678,0.914895054402387,TRUE,4,19
"275",0.01,100,0.27,1.41859334366387,0.724374678871132,0.862452340358448,TRUE,4,19
"276",0.01,100,0.29,1.52367433208341,0.676685777531155,0.805673154435105,TRUE,4,19
"277",0.01,100,0.31,1.62875532050296,0.627790460543921,0.747457590310298,TRUE,4,19
"278",0.01,100,0.33,1.7338363089225,0.579275988994402,0.689695466992651,TRUE,4,19
"279",0.01,100,0.35,1.83891729734205,0.532067015227319,0.633487690687172,TRUE,4,19
"280",0.01,100,0.37,1.94399828576159,0.486643394928557,0.57940558542188,TRUE,4,19
"281",0.01,100,0.39,2.04907927418114,0.44330854074932,0.52781039926184,TRUE,4,19
"282",0.01,100,0.41,2.15416026260069,0.402178286121719,0.478840045385867,TRUE,4,19
"283",0.01,100,0.43,2.25924125102023,0.363310196508951,0.432563062175971,TRUE,4,19
"284",0.01,100,0.45,2.36432223943978,0.326680292500327,0.388950899353583,TRUE,4,19
"285",0.01,100,0.47,2.46940322785932,0.292297214593739,0.348013844436814,TRUE,4,19
"286",0.01,100,0.49,2.57448421627887,0.260119125840321,0.309702085670073,TRUE,4,19
"287",0.02,100,0.001,0.00838165204521034,0.626165589946237,0.679583767137831,TRUE,4,19
"288",0.02,100,0.01,0.0838165204521034,0.650822468621318,0.706344123766994,TRUE,4,19
"289",0.02,100,0.03,0.25144956135631,0.705585087057532,0.765778540369812,TRUE,4,19
"290",0.02,100,0.05,0.419082602260517,0.760347709521851,0.825212961344372,TRUE,4,19
"291",0.02,100,0.07,0.586715643164724,0.815110322948757,0.884647372510539,TRUE,4,19
"292",0.02,100,0.09,0.754348684068931,0.869872946787279,0.944081794976536,TRUE,4,19
"293",0.02,100,0.11,0.921981724973138,0.916029386984376,0.994175840402296,TRUE,4,19
"294",0.02,100,0.13,1.08961476587734,0.915118727037852,0.993187492069241,TRUE,4,19
"295",0.02,100,0.15,1.25724780678155,0.877010678243585,0.951828446197519,TRUE,4,19
"296",0.02,100,0.17,1.42488084768576,0.819030959232336,0.888902478217323,TRUE,4,19
"297",0.02,100,0.19,1.59251388858997,0.753515631496105,0.817798038843577,TRUE,4,19
"298",0.02,100,0.21,1.76014692949417,0.687254927436274,0.745884635103121,TRUE,4,19
"299",0.02,100,0.23,1.92777997039838,0.623443573822678,0.676629535859142,TRUE,4,19
"300",0.02,100,0.25,2.09541301130259,0.563325645064452,0.611382947490166,TRUE,4,19
"301",0.02,100,0.27,2.26304605220679,0.507290928964052,0.550567910590296,TRUE,4,19
"302",0.02,100,0.29,2.430679093111,0.455355817124409,0.494202215129868,TRUE,4,19
"303",0.02,100,0.31,2.59831213401521,0.407384311449733,0.442138261017555,TRUE,4,19
"304",0.02,100,0.33,2.76594517491941,0.36318376667159,0.394166968419931,TRUE,4,19
"305",0.02,100,0.35,2.93357821582362,0.322546356734776,0.350062781644104,TRUE,4,19
"306",0.02,100,0.37,3.10121125672783,0.285266629319398,0.30960272123582,TRUE,4,19
"307",0.02,100,0.39,3.26884429763203,0.251148448354632,0.272573918758959,TRUE,4,19
"308",0.02,100,0.41,3.43647733853624,0.220007108973365,0.238775912176937,TRUE,4,19
"309",0.02,100,0.43,3.60411037944045,0.19166927966943,0.208020583075365,TRUE,4,19
"310",0.02,100,0.45,3.77174342034466,0.165972001040604,0.180131069987832,TRUE,4,19
"311",0.02,100,0.47,3.93937646124886,0.142761351536074,0.15494032031831,TRUE,4,19
"312",0.02,100,0.49,4.10700950215307,0.121890934401455,0.132289448207468,TRUE,4,19
